S No,Passion,Skill,Course/Degree,Institution,Training/Programme
1,Pharmacy,Clinical Pharmacy,M.Pharm,NIPER Mohali,Microsoft Learn - Pharmacy Technician Course
2,Voice Acting,Online Business - Basics,BBA E-commerce,Christ University,Simplilearn - E-commerce Operations
3,Urban Planning,Smart Cities,PG Diploma Urban Planning - Specialization,Delhi Technological University,NSDC - Urban Planning Skills (Certificate)
4,Blockchain Technology,Technical Writing - Intermediate,M.A English,Anna University,NPTEL - English Communication (Certificate)
5,Banking,Practical Child Welfare,MSW - Specialization,Delhi School of Social Work,edX - Social Sector Skills
6,Disaster Management,Sports Marketing,MBA Sports Management,BITS Pilani,NSDC - Sports Management
7,Translation,Podcast Production,Certificate Podcasting (Honours),All India Radio Training,Microsoft Learn - Audio Production
8,Blockchain Technology,Smart Contracts - Essentials,B.Tech Blockchain,Amity University,Udemy - Blockchain and Applications
9,Animation,Sports Marketing + Plant Breeding,MBA Sports Management,IIM Rohtak,NSDC - Sports Management
10,Cosmetology,Hair Styling,Certificate Beauty,VLCC Institute,PMKVY - Beauty Therapist
11,Nursing,Community Planning,PGDM Rural Management (Honours),IRMA Anand,DDU-GKY Training
12,Acupuncture,Pain Management,Certificate Acupuncture,All India Institute of Ayurveda,NSDC - Wellness Therapy
13,Martial Arts,Risk Analysis - Basics,B.Sc Actuarial Science (Honours),Christ University,Institute of Actuaries of India
14,Painting,Industrial Safety - Advanced,B.Tech Fire & Safety (Honours),Anna University,Pluralsight - Safety Officer
15,Cloud Computing,AWS,B.Tech IT,Delhi Technological University,SWAYAM - AWS Cloud Technical Essentials
16,Aerospace Engineering,Broadcast Journalism,M.A Journalism,NIT Trichy,Pluralsight - Media Skills
17,Fashion Design,Textile Design,M.Des Fashion Design,Pearl Academy,Microsoft Learn - Apparel Training
18,Artificial Intelligence,Cloud Computing,B.Tech Electronics (Honours),National Institute of Fashion Technology,Microsoft Learn - Cloud Computing Specialization
19,Software Development,Intro to Web Development,BCA,Delhi University,SWAYAM - Web Development Fundamentals (Certificate)
20,Sports Science,Operations Management,BBA - Specialization,NMIMS Mumbai (Dept. of CS),NPTEL - Operations Management (Certificate)
21,Artificial Intelligence,Acting,Diploma Acting (Honours),National School of Drama,Pluralsight - Theatre Arts
22,Game Development,Unreal Engine,B.Tech CSE,Lovely Professional University,Unity Learn Platform
23,Blockchain Technology,Space Planning,B.Des Interior Design,NIFT Delhi,PMKVY - Interior Designer Training (Certificate)
24,Medical Lab Technology,Concepts of Diagnostics,B.Sc MLT,Christian Medical College,Simplilearn - Medical Lab Technician
25,Physical Education,Sensor Networks,M.Tech in IoT,VIT Vellore,NSDC - IoT Skills Development (Certificate)
26,Comic Book Art,Intro to Story Boarding,Certificate Comics,IIT BHU,PMKVY - Animation Art
27,Artificial Intelligence,Computer Vision,M.Tech Computer Vision,IIIT Bangalore,NPTEL - Computer Vision
28,Game Development,Unity 3D - Essentials,B.Sc Computer Science,SRM University (Dept. of CS),NSDC - Game Design & Development
29,Embedded Systems,Machine Learning,Diploma in AI & ML,Kalakshetra Chennai,NPTEL - Machine Learning Specialization
30,Data Science,Web Development,Diploma in AI & ML - Specialization,Nature's Nest Wellness,Microsoft Learn - Web Development Specialization
31,Calligraphy,Name Analysis + Aerodynamics,Workshop Numerology,All India Federation of Astrologers,SWAYAM - Alternative Sciences
32,Music Production,Music Composition,Diploma Music,AR Rahman Music Academy,SWAYAM - Music Fundamentals
33,Dairy Technology,Hands-on Swimming Training,Diploma Swimming Coaching - Specialization,Swimming Federation of India,NSDC - Swimming Coach
34,Comic Book Art,Heritage Conservation,M.Sc Archaeology,Institute of Archaeology Delhi (Dept. of CS),Government Conservation Programs
35,Documentary Making,Concepts of Social Documentary,Workshop Documentary,Films Division India,SWAYAM - Documentary Production
36,Disaster Management,Emergency Response,PG Diploma Disaster Management,NIDM Delhi,NPTEL - Disaster Management
37,Teaching,Primary Education,B.Ed,Delhi University,edX - Pedagogy of School Subjects
38,Calligraphy,Honey Production - Professional,Diploma Apiculture,National Bee Board,SWAYAM - Beekeeping Training
39,Virtual Reality,VR Game Development,B.Tech VR (Honours),Amity University,Unreal VR Development Course (Certificate)
40,Event Management,Corporate Events,MBA Event Management,NAEMD Mumbai,PMKVY - Event Planning
41,Sports Science,Intro to Sports Psychology,M.Sc Sports Science,Punjabi University (Dept. of CS),PMKVY - Sports Coach
42,Film Making,Cinematography,M.A Film Making,Satyajit Ray Film Institute,NSDC - Media & Entertainment
43,Materials Science,Advanced Materials,M.Tech in Materials Science,IIT Kanpur,NPTEL - Materials Science (Certificate)
44,Electric Vehicles,Footwear Making,Diploma Leather Technology - Specialization,FDDI Noida,NSDC - Footwear Skills
45,Cosmetology,Direction,PG Diploma Theatre (Honours),FTII Pune,Pluralsight - Performing Arts
46,Actuarial Science,Molecular Biology + Sanitation Systems,B.Sc Biology,St. Stephens College,NPTEL - Cell Biology
47,Actuarial Science,Pilot Training,Commercial Pilot License,Indira Gandhi Rashtriya Uran Akademi (Dept. of CS),Udemy - DGCA Approved Training
48,DevOps,Data Analysis,B.Sc Computer Science - Specialization,Anjali Dubbing Studios,NPTEL - Data Analysis Specialization
49,Copywriting,Book Design - Essentials,PG Diploma Publishing,University of Mumbai,Simplilearn - Print Media
50,Political Science,Construction Work,ITI Masonry (Honours),Government ITI,PMKVY - Mason Training
51,Electronics Engineering,Dubbing - Professional,Certificate Voice Acting,Anjali Dubbing Studios,NPTEL - Voice Over Artist
52,Graphic Design,Petroleum Geology,M.Sc Geology (Honours),IIT Roorkee,Google - ONGC Training Programs
53,Data Science,Python Programming,B.Tech Information Technology (Honours),Whistling Woods Mumbai,Google - Python Programming Specialization
54,Renewable Energy,Intro to Biomass Energy,M.Tech Renewable Energy (Honours),Anna University,Google - MNRE Biomass Training
55,Radio Production,Podcast Production,Certificate Podcasting,All India Radio Training,NSDC - Audio Production
56,Artificial Intelligence,Machine Learning,M.Tech AI,IIT Madras,NPTEL - Introduction to Machine Learning
57,Medical Lab Technology,Curation - Advanced,PG Diploma Museum Studies,MS University Baroda,SWAYAM - Government Heritage Programs
58,Electrical Engineering,Power Systems,B.Tech Electrical,IIT Kharagpur,NPTEL - Power System Engineering
59,Early Childhood Education,Hands-on Orthopedic Care,MPT - Specialization,CMC Vellore,PMKVY - Healthcare Skills
60,Embedded Systems,Data Analysis,MBA (IT) (Honours),Indian Tattoo Institute,Google - Data Analysis Specialization
61,Embedded Systems,Embedded C,BCA - Specialization,Framebotics Academy,Udemy - Embedded C Specialization
62,Handicrafts,Traditional Crafts,Certificate Handicrafts,Handicrafts Board,PM Vishwakarma Scheme
63,Interpretation,Simultaneous Interpretation,Certificate Interpretation - Specialization,CIIL Mysore,Government Translation Services (Certificate)
64,Patent Law,Patent Drafting + Therapeutic Yoga,PG Diploma Patent Law,IIT Kharagpur,Coursera - IP Management
65,Real Estate,Hindustani Classical,Diploma Music,ITC Sangeet Research Academy,Pluralsight - Sangeet Natak Akademi
66,Quantum Computing,Real Estate Development,MBA Real Estate (Honours),NICMAR Pune,PMKVY - Real Estate Training
67,Calligraphy,Concepts of Hand Lettering,Certificate Calligraphy,National Institute of Design,Microsoft Learn - PM Vishwakarma Scheme
68,Public Health,Epidemiology + Forest Management,MPH,AIIMS Delhi,SWAYAM - Public Health
69,Painting,House Painting,ITI Painting,Government ITI,PMKVY - Painter Training
70,Psychology,Counseling - Intermediate,M.Phil Clinical Psychology (Honours),NIMHANS Bangalore (Dept. of CS),PMKVY - Counseling Skills
71,Electronics Engineering,VLSI Design,B.Tech ECE,IIT Delhi,NPTEL - VLSI Design
72,Statistics,Penetration Testing,PG Diploma Cybersecurity - Specialization,CDAC Pune,Simplilearn - Ethical Hacking
73,Literature,Comparative Literature,M.A English - Specialization,Delhi University,SWAYAM - Literary Studies
74,Aerospace Engineering,Concepts of Community Planning,PGDM Rural Management,Delhi Technological University,DDU-GKY Training (Certificate)
75,Hotel Management,Pain Management - Advanced,Certificate Acupuncture - Specialization,All India Institute of Ayurveda,NSDC - Wellness Therapy
76,Human Resources,Climate Science,M.Sc Meteorology - Specialization,IIT Delhi,Microsoft Learn - Atmospheric Science
77,Finance,Investment Banking - Advanced,MBA Finance (Honours),IIM Calcutta,Udemy - Financial Services
78,Alternative Medicine,Homeopathy,BHMS,National Institute of Homoeopathy,AYUSH Training Programs
79,Yoga Therapy,Sensor Networks,M.Tech IoT (Honours),VIT Vellore (Dept. of CS),NSDC - IoT Skills Development (Certificate)
80,Geology,Unani Practice,BUMS,Aligarh Muslim University (Dept. of CS),AYUSH Unani Programs
81,Fitness Training,Drug Development + Hatchery Management,B.Pharm - Specialization,Jamia Hamdard,Microsoft Learn - Pharmaceutical Chemistry
82,Virtual Reality,360 Video Production,Diploma VR,Arena Animation,PMKVY - VR Content Creation
83,Theatre Arts,Sports Psychology,M.Sc Sports Science - Specialization,Punjabi University,PMKVY - Sports Coach
84,Handicrafts,Jewelry Making,Diploma Handicrafts,Jewelry Training Centers,NSDC - Gem & Jewelry
85,Fire Safety,Fire Engineering - Intermediate,Diploma Fire Safety (Honours),National Fire Service College,NSDC - Fire Safety Training (Certificate)
86,Film Making,Sculpture,MFA,MS University Baroda,NPTEL - Lalit Kala Akademi Program
87,Biology,Petroleum Geology,B.A Philosophy (Honours),Banaras Hindu University,Coursera - Fisheries Training
88,Water Management,Chess Coaching,Certificate Chess Coaching,All India Chess Federation,Microsoft Learn - AICF Arbiter Course
89,Translation,Patent Drafting + Deep Learning,PG Diploma Patent Law,IIT Kharagpur (Dept. of CS),Google - IP Management
90,Civil Engineering,Radio Programming - Intermediate,Diploma Radio,Indian Institute of Mass Communication,NPTEL - Radio Broadcasting
91,Data Science,Practical Big Data Analytics,PG Diploma Big Data (Honours),IIndian Institute of Technology Bangalore,PMKVY - Big Data Training (Certificate)
92,Artificial Intelligence,NLP,B.Tech Electronics - Specialization,Arena Animation,Google - NLP Specialization
93,Materials Science,Concepts of iOS Development,BCA,Christ University,Udemy - iOS App Development (Certificate)
94,Software Development,Web Development,BCA,IIT Guwahati,SWAYAM - Web Development Fundamentals
95,Game Development,Unity 3D + Chess Strategy,B.Sc Computer Science - Specialization,SRM University,edX - Game Design & Development
96,Horticulture,Direct Taxation,LLM Tax Law - Specialization,NALSAR Hyderabad,SWAYAM - Taxation Laws
97,Veterinary Science,Livestock Management,M.V.Sc,Madras Veterinary College (Dept. of CS),edX - Animal Husbandry
98,History,Archaeological Studies,B.A History,Delhi University,NPTEL - Indian Heritage
99,Aerospace Engineering,Aerodynamics,M.Tech Aerospace,IIT Madras,NSDC - Aviation Maintenance
100,Artificial Intelligence,Clay Modeling - Basics,Diploma Pottery (Honours),National Institute of Design,Udemy - Government Craft Programs
101,Robotics,Music Production - Essentials,Diploma Audio Engineering (Honours),KM Music Conservatory (Dept. of CS),PMKVY - Audio Technician
102,Stand-up Comedy,Performance - Essentials,Certificate Comedy,IIT Guwahati,edX - Entertainment Skills
103,Software Development,Embedded C,M.Tech CSE (Honours),Institute of Archaeology Delhi,Simplilearn - Embedded C Specialization
104,Leather Work,Aircraft Design - Fundamentals,B.Tech Aerospace,IIT Kanpur (Dept. of CS),Google - Aerospace Engineering
105,Neuroscience,Cognitive Science + Theoretical Physics,PhD Neuroscience,IISc Bangalore,SWAYAM - Cognitive Psychology
106,Banking,Investment Banking,MBA Banking,IIM Lucknow (Dept. of CS),NSDC - Banking & Finance
107,Artificial Intelligence,Data Analysis,B.Tech Information Technology,MNRE Approved Institutes,Microsoft Learn - Data Analysis Specialization
108,Product Management,Python Programming,BCA (Honours),Frankfinn Institute,Simplilearn - Python Programming Specialization
109,Tax Law,GST Compliance,PG Diploma Tax Law,ICAI Regional Offices,SWAYAM - GST & Taxation
110,Software Development,Advertising Copy,Certificate Copywriting,Mudra Institute of Communications,Coursera - Google Digital Marketing
111,Publishing,Drug Discovery - Professional,M.Pharm Pharmaceutics (Honours),NIPER Mohali,NPTEL - Pharmaceutical Sciences
112,Sports Science,Hindustani Classical,Diploma Music,ITC Sangeet Research Academy,Sangeet Natak Akademi (Certificate)
113,Sericulture,Silk Production,B.Sc Sericulture,University of Agricultural Sciences,Google - Sericulture Training
114,Welding,Hands-on Space Planning,B.Des Interior Design,NIFT Delhi,PMKVY - Interior Designer Training (Certificate)
115,Real Estate,Property Management,BBA Real Estate,RICS School of Built Environment,NSDC - Real Estate Skills
116,Electrical Work,House Wiring,ITI Electrician,Government ITI (Dept. of CS),NPTEL - Electrician Training
117,Fitness Training,Yoga Instruction,Certificate Yoga,Patanjali Yogpeeth,PMKVY - Yoga Instructor
118,Accounting,Petroleum Geology - Fundamentals,M.Sc Geology,IIT Roorkee (Dept. of CS),ONGC Training Programs
119,Accounting,Biostatistics,M.Sc Statistics - Specialization,Anna University,Google - Statistical Methods
